detail_id,detail_title
PER-001-0201,[공통기반] 고려 개발 시스템 성능 제시
PER-002-0101,[공통기반] 처리 대해서 대량 데이터건 조회 기능 제공
PER-003-0101,[공통기반] 데이터 처리에 적용되지 프로그램 배치 계획 수립
PER-004-0101,[공통기반] 시간 3초 완전히 표출 등록 기능 제공
PER-005-0101,[공통기반] 인지 즉시 조치할 있도록 작성 체계 수립
PER-006-0101,[공통기반] 중요 정보 노출되지 화면 구성
PER-007-0101,[공통기반] 결과 읽고 의미 500명 지원 체계 구축
PER-008-0101,[공통기반] 동시처리능력 초기 100건 입력기능 수립
PER-009-0101,[공통기반] 실시 진단결과 개선사항 대응책 수립
PMR-001-0101,[PMO/QC] 일정관리 자원관리 형상관리 프로젝트 관리체계 수립
PMR-002-0101,[PMO/QC] 프로토타이핑 식별 사업수행계획서 프로토타입 제시
PMR-003-0101,[PMO/QC] 정기 회의체 일정관리 운영 체계 수립
PMR-004-0101,[PMO/QC] 직접 참여하였거나 유사 프로젝트 기능 개발
PMR-005-0101,[PMO/QC] 사업관리자 주제안사 전문인력이어야 수립
PMR-006-0101,[PMO/QC] 협조체계 유지할 있도록 수행조직 구성
PMR-007-0101,[PMO/QC] 불가항력 사유 인력 교체 승인 절차 수립
PMR-008-0101,[PMO/QC] 수행할 있도록 지원 자문조직 구성
PMR-009-0101,[PMO/QC] 개선사항 발생하였 대비 시스템 기능 개발
PMR-010-0101,[PMO/QC] 빠짐없 관리 비기능 분석 체계 구축
PMR-011-0101,[PMO/QC] 검사기준 시스템 모두 반영률 반영 절차 수립
PMR-011-0201,[PMO/QC] 불가항력 인한 미조치 반영률 승인 절차 수립
PMR-012-0101,[PMO/QC] 제품 데이터 완전 삭제 승인 절차 수립
PMR-013-0101,[PMO/QC] 사용법 데이터 프로세스 산출물 갱신 체계 구축
PMR-013-0201,[PMO/QC] 완료보고서 하자보수계획서 산출물 상호 조정 체계 수립
PMR-013-0301,[PMO/QC] 소프트웨어 설치 제거 산출물 기능 제공
PMR-013-0401,[PMO/QC] 산출물 목록 테일러링 관리 작성 체계 수립
PMR-014-0101,[PMO/QC] 지속적 활동 품질보증계획 수립
PMR-015-0101,[PMO/QC] 긴밀 협조체계 이루어 유기적 구축
PMR-016-0101,[PMO/QC] 사업수행계획서 정의서 요구내용 검사 적용 방안 수립
PMR-017-0101,[PMO/QC] 기록 보안담당자 인가하지 비인가자 기능 제공
PMR-018-0101,[PMO/QC] 금지 정보시스템 반출할 정보보안담당관 통제 체계 수립
PMR-019-0101,[PMO/QC] 상세히 주제안사 공동 수급 운영 체계 수립
PMR-020-0101,[PMO/QC] 관리방안 행정기관 공공기관 정보시스템 구축
PMR-021-0101,[PMO/QC] 사용범위 구별 방법론 정보시스템 기능 개발
PMR-022-0101,[PMO/QC] 체계적 전자정부지원사업 사업관리방안 준수 체계 수립
PMR-023-0101,[PMO/QC] 단계별 추진일정 활동 일정계획 기능 개발
PMR-024-0101,[PMO/QC] 상세화 과정 리스크 위험관리 관리체계 수립
PMR-025-0101,[PMO/QC] 진척사항 특이사항 기록 업무일지 작성 체계 수립
PMR-026-0101,[PMO/QC] 사업진행 비정기적 보고방안 수시보 제시
PMR-027-0101,[PMO/QC] 시스템 연계기관 업무협 진행방안 제시
PMR-028-0101,[데이터구축및이관] 99 실현 품질수준 목표 제시
PMR-028-0201,[데이터구축및이관] 데이터베이스구축방법론 3단계 품질검사 품질수준 준수 체계 수립
PMR-029-0101,[공통기반] 직접구매 총괄관리 통합테스트 통합운영방안 수립
PMR-030-0101,[PMO/QC] 사업수행계획서 변경관리서 일치하지 지체없 보완 방안 수립
PMR-031-0101,[PMO/QC] 시건장치 정보화사업 중요자료 비공개자료 수립
PSR-001-0101,[PMO/QC] 이후 6개월 동안 가동상태 모니터링 체계 구축
PSR-002-0101,[PMO/QC] 해결 안정성 신뢰성 하자보수 확보 방안 수립
PSR-003-0101,[PMO/QC] 운영자 일반사용자 교육자료 작성 체계 수립
PSR-004-0101,[공통기반] 구성방법 장애 대처방법 기술이전 운영 체계 수립
PSR-005-0101,[공통기반] 한국소프트웨어산업협회 SW사업 대가산정 기능점수 구축
PSR-006-0101,[PMO/QC] 평가기관 영향평가 의뢰 결과 제출 절차 수립
PSR-007-0101,[공통기반] 점검 조치사항 시스템 보안취약성 구축
PSR-008-0101,[공통기반] 정보자원 관리 현행정보 현행화 기능 제공
PSR-009-0101,[PMO/QC] 사업수행계획서 SW사업정보 작성 체계 수립
PSR-010-0101,[공통기반] 취약점 대체방안 해결안 마련 기능 제공
PSR-011-0101,[공통기반] 작성 취약점진단 모의해킹 결과물 제출 절차 수립
PSR-012-0101,[PMO/QC] 관리시스템 완료 이전설치 등록 기능 제공
PSR-013-0101,[PMO/QC] 이전 미처리 장애현황 자동 등록 기능 제공
QUR-001-0101,[PMO/QC] 매일 24시간 동안 무중단 운영 체계 수립
QUR-002-0101,[PMO/QC] 기술 체계적 효과적 프로젝트 진행 계획 수립
QUR-003-0101,[PMO/QC] 제안서 사업수행계획서 과업내용서 신뢰성 분석 체계 구축
QUR-004-0101,[PMO/QC] 오류 방지 통제방안 장애발생 반영 절차 수립
QUR-005-0101,[PMO/QC] 원칙적 금지 불가피할 프로그램 보고 체계 수립
QUR-006-0101,[PMO/QC] 관리자 문서 프로그램 사용성 기능 제공
QUR-007-0101,[PMO/QC] 시스템 제공되기 모두 변경관리 기능 제공
QUR-008-0101,[PMO/QC] 말함 로부터 1년 하자보수 운영 체계 수립
QUR-009-0101,[PMO/QC] 성능 발생 패치 하자보수 기능 제공
QUR-010-0101,[PMO/QC] 목표 시스템간 무결성 상호운용성 확보 방안 수립
SER-001-0101,[공통기반] Network Security Framework 보안 준용 기준 마련
SER-002-0101,[공통기반] 인증정보 패스워드 보안 수립
SER-002-0102,[공통기반] 인증 표준 로그인 수립
SER-002-0103,[공통기반] 비밀번호 보안정책 인증 준수 체계 수립
SER-002-0104,[공통기반] 전자인증정보 키값 파라미터 수립
SER-002-0105,[공통기반] 유휴계정 관리 인증 기능 제공
SER-002-0106,[공통기반] 제한 계정 잠금 인증 기능 구현
SER-002-0107,[공통기반] 인증 다수 정보시스템 로그인하지 수립
SER-002-0108,[공통기반] 인증 3개월 정보시스템 로그인하지 수립
SER-002-0109,[공통기반] 분실 임시비밀번호 인증 생성 기능 제공
SER-002-0110,[공통기반] 인증 임시비밀번호 자동제공 수립
SER-002-0201,[공통기반] 인증정보 로그인 계정 기능 제공
SER-002-0301,[공통기반] 인증서 로그인 모바일공무원증 기능 제공
SER-002-0302,[공통기반] USB토큰 HSM 다양 저장매체 지원 체계 구축
SER-002-0303,[공통기반] 입력받아 DB 저장 정보 조회 기능 제공
SER-003-0101,[공통기반] 시스템간 SSO 통합인증 기능 구현
SER-004-0101,[공통기반] 여부 설정할 있도록 사용자계정 관리체계 수립
SER-004-0201,[공통기반] 보관 인증정보 올바른 사용자계정 활용 체계 구축
SER-005-0101,[공통기반] 조치방안 행정기관 공공기관 정보시스템 구축
SER-006-0101,[공통기반] 개인정보보호 비밀번호 생년월일 수립
SER-006-0201,[공통기반] 시행령 시행규칙 지침 개인정보보호 준수 체계 수립
SER-006-0301,[공통기반] 자동 화면차단 로그아웃 되도록 기능 제공
SER-006-0401,[공통기반] 메뉴 접근기록 관리 개인정보보호 기능 제공
SER-006-0402,[공통기반] 조회기록 상세내역 개인정보보호 기능 제공
SER-006-0403,[공통기반] 접근기록 통계 개인정보보호 조회 기능 제공
SER-006-0404,[공통기반] 기재 시스템 관리자 개인정보보호 기능 제공
SER-006-0501,[공통기반] 선택사항 필수사항 구분 개인정보보호 관리체계 수립
SER-006-0601,[공통기반] 접근이력 개인정보보호 관리 관리체계 수립
SER-006-0701,[공통기반] 개인정보보호 관리자인 화면 노출시키지 수립
SER-006-0801,[PMO/QC] 결과 대해서 주사업자 통합사업자 구축
SER-006-0901,[공통기반] 개발서버 시험운영 개인정보 모의데이터 추출 기능 제공
SER-007-0101,[PMO/QC] 데이터베이스 관리자 허가 득한 관리체계 수립
SER-008-0101,[공통기반] 통신 구간 암호화 무결성 기능 제공
SER-009-0101,[공통기반] 암호화 정보시스템 로그인 정보통신망 전송 체계 구축
SER-010-0101,[공통기반] 데몬 구동 조정 국가정보자원관리원 기능 제공
SER-011-0101,[공통기반] 연동 보안 연계서버 업무서버 수립
SER-012-0101,[공통기반] XML암호화 WS Security SAML 적용 방안 수립
SFR-AA-001-0101,[디지털감사] 감사원내 위원회 의사진행 AGORA 진행 계획 수립
SFR-AA-001-0102,[디지털감사] 관리할 있도록 의제 AGORA 등록 기능 제공
SFR-AA-001-0103,[디지털감사] 있도록 등재 의사진행 AGORA 기능 제공
SFR-AA-001-0104,[디지털감사] 관리할 있도록 의사진행 AGORA 검토 절차 수립
SFR-AA-001-0105,[디지털감사] 비정기 일정관리 회의장내 영상 연계 체계 구축
